Position,code,Geography,Treatment,vialnum,Sex,exp,cfuA,cfuL,repexp,total,GT,Bacteria,Replicate,Duplicate,SortOrder,Plate,Side,type
727,D Choice NA 4 NA 3990 5 Diet 2 A,D,Choice,D Choice NA 4 NA 3990 5 Diet 2 A,NA,5,3663360,0,D Choice NA 4 NA 3990 5 Diet 2 A,3663360,DChoice,CV,4,NA,3990,Diet 2,A,diet
729,D Choice NA 4 NA 3992 5 Diet 2 A,D,Choice,D Choice NA 4 NA 3992 5 Diet 2 A,NA,5,9768960,0,D Choice NA 4 NA 3992 5 Diet 2 A,9768960,DChoice,CV,4,NA,3992,Diet 2,A,diet
731,D Choice NA 4 NA 3994 5 Diet 2 L,D,Choice,D Choice NA 4 NA 3994 5 Diet 2 L,NA,5,9768960,0,D Choice NA 4 NA 3994 5 Diet 2 L,9768960,DChoice,CV,4,NA,3994,Diet 2,L,diet
733,D Choice NA 4 NA 3996 5 Diet 2 L,D,Choice,D Choice NA 4 NA 3996 5 Diet 2 L,NA,5,3663360,0,D Choice NA 4 NA 3996 5 Diet 2 L,3663360,DChoice,CV,4,NA,3996,Diet 2,L,diet
735,D Choice NA 4 NA 3998 5 Diet 2 L,D,Choice,D Choice NA 4 NA 3998 5 Diet 2 L,NA,5,1424640,0,D Choice NA 4 NA 3998 5 Diet 2 L,1424640,DChoice,CV,4,NA,3998,Diet 2,L,diet
515,D Control F 4 NA 3778 5 Flies 2 NA,D,Control,D Control F 4 NA 3778 5 Flies 2 NA,F,5,1704480,0,D Control F 4 NA 3778 5 Flies 2 NA,1704480,DControl,CV,4,NA,3778,Flies 2,NA,fly
517,D Control F 4 NA 3780 5 Flies 2 NA,D,Control,D Control F 4 NA 3780 5 Flies 2 NA,F,5,82680,0,D Control F 4 NA 3780 5 Flies 2 NA,82680,DControl,CV,4,NA,3780,Flies 2,NA,fly
519,D Control F 4 NA 3782 5 Flies 2 NA,D,Control,D Control F 4 NA 3782 5 Flies 2 NA,F,5,114480,75,D Control F 4 NA 3782 5 Flies 2 NA,114555,DControl,CV,4,NA,3782,Flies 2,NA,fly
509,D Control M 4 NA 3772 5 Flies 2 NA,D,Control,D Control M 4 NA 3772 5 Flies 2 NA,M,5,254400,150,D Control M 4 NA 3772 5 Flies 2 NA,254550,DControl,CV,4,NA,3772,Flies 2,NA,fly
511,D Control M 4 NA 3774 5 Flies 2 NA,D,Control,D Control M 4 NA 3774 5 Flies 2 NA,M,5,54060,150,D Control M 4 NA 3774 5 Flies 2 NA,54210,DControl,CV,4,NA,3774,Flies 2,NA,fly
513,D Control M 4 NA 3776 5 Flies 2 NA,D,Control,D Control M 4 NA 3776 5 Flies 2 NA,M,5,136740,50,D Control M 4 NA 3776 5 Flies 2 NA,136790,DControl,CV,4,NA,3776,Flies 2,NA,fly
737,D Control NA 4 NA 4000 5 Diet 2 NA,D,Control,D Control NA 4 NA 4000 5 Diet 2 NA,NA,5,1424640,0,D Control NA 4 NA 4000 5 Diet 2 NA,1424640,DControl,CV,4,NA,4000,Diet 2,NA,diet
739,D Control NA 4 NA 4002 5 Diet 2 NA,D,Control,D Control NA 4 NA 4002 5 Diet 2 NA,NA,5,14653440,0,D Control NA 4 NA 4002 5 Diet 2 NA,14653440,DControl,CV,4,NA,4002,Diet 2,NA,diet
741,D Control NA 4 NA 4004 5 Diet 2 NA,D,Control,D Control NA 4 NA 4004 5 Diet 2 NA,NA,5,3052800,0,D Control NA 4 NA 4004 5 Diet 2 NA,3052800,DControl,CV,4,NA,4004,Diet 2,NA,diet
743,D Control NA 4 NA 4006 5 Diet 2 NA,D,Control,D Control NA 4 NA 4006 5 Diet 2 NA,NA,5,814080,0,D Control NA 4 NA 4006 5 Diet 2 NA,814080,DControl,CV,4,NA,4006,Diet 2,NA,diet
745,D Control NA 4 NA 4008 5 Diet 2 NA,D,Control,D Control NA 4 NA 4008 5 Diet 2 NA,NA,5,3866880,0,D Control NA 4 NA 4008 5 Diet 2 NA,3866880,DControl,CV,4,NA,4008,Diet 2,NA,diet
747,D Control NA 4 NA 4010 5 Diet 2 NA,D,Control,D Control NA 4 NA 4010 5 Diet 2 NA,NA,5,1017600,0,D Control NA 4 NA 4010 5 Diet 2 NA,1017600,DControl,CV,4,NA,4010,Diet 2,NA,diet
145,E Choice F 4 NA 1683 3 Flies 1 NA,E,Choice,E Choice F 4 NA 1683 3 Flies 1 NA,F,3,2782.5,125,E Choice F 4 NA 1683 3 Flies 1 NA,2907.5,EChoice,G,4,NA,1683,Flies 1,NA,fly
147,E Choice F 4 NA 1685 3 Flies 1 NA,E,Choice,E Choice F 4 NA 1685 3 Flies 1 NA,F,3,890400,575,E Choice F 4 NA 1685 3 Flies 1 NA,890975,EChoice,G,4,NA,1685,Flies 1,NA,fly
149,E Choice F 4 NA 1687 3 Flies 1 NA,E,Choice,E Choice F 4 NA 1687 3 Flies 1 NA,F,3,5565,250,E Choice F 4 NA 1687 3 Flies 1 NA,5815,EChoice,G,4,NA,1687,Flies 1,NA,fly
429,E Choice F 4 NA 3692 5 Flies 2 NA,E,Choice,E Choice F 4 NA 3692 5 Flies 2 NA,F,5,1424640,175,E Choice F 4 NA 3692 5 Flies 2 NA,1424815,EChoice,CV,4,NA,3692,Flies 2,NA,fly
431,E Choice F 4 NA 3694 5 Flies 2 NA,E,Choice,E Choice F 4 NA 3694 5 Flies 2 NA,F,5,1043040,0,E Choice F 4 NA 3694 5 Flies 2 NA,1043040,EChoice,CV,4,NA,3694,Flies 2,NA,fly
433,E Choice F 4 NA 3696 5 Flies 2 NA,E,Choice,E Choice F 4 NA 3696 5 Flies 2 NA,F,5,915840,100,E Choice F 4 NA 3696 5 Flies 2 NA,915940,EChoice,CV,4,NA,3696,Flies 2,NA,fly
141,E Choice M 4 NA 1679 3 Flies 1 NA,E,Choice,E Choice M 4 NA 1679 3 Flies 1 NA,M,3,92220,250,E Choice M 4 NA 1679 3 Flies 1 NA,92470,EChoice,G,4,NA,1679,Flies 1,NA,fly
143,E Choice M 4 NA 1681 3 Flies 1 NA,E,Choice,E Choice M 4 NA 1681 3 Flies 1 NA,M,3,5167.5,0,E Choice M 4 NA 1681 3 Flies 1 NA,5167.5,EChoice,G,4,NA,1681,Flies 1,NA,fly
423,E Choice M 4 NA 3686 5 Flies 2 NA,E,Choice,E Choice M 4 NA 3686 5 Flies 2 NA,M,5,559680,3180,E Choice M 4 NA 3686 5 Flies 2 NA,562860,EChoice,CV,4,NA,3686,Flies 2,NA,fly
425,E Choice M 4 NA 3688 5 Flies 2 NA,E,Choice,E Choice M 4 NA 3688 5 Flies 2 NA,M,5,1221120,100,E Choice M 4 NA 3688 5 Flies 2 NA,1221220,EChoice,CV,4,NA,3688,Flies 2,NA,fly
427,E Choice M 4 NA 3690 5 Flies 2 NA,E,Choice,E Choice M 4 NA 3690 5 Flies 2 NA,M,5,457920,0,E Choice M 4 NA 3690 5 Flies 2 NA,457920,EChoice,CV,4,NA,3690,Flies 2,NA,fly
641,E Choice NA 4 NA 3904 5 Diet 2 A,E,Choice,E Choice NA 4 NA 3904 5 Diet 2 A,NA,5,2035200,0,E Choice NA 4 NA 3904 5 Diet 2 A,2035200,EChoice,CV,4,NA,3904,Diet 2,A,diet
643,E Choice NA 4 NA 3906 5 Diet 2 A,E,Choice,E Choice NA 4 NA 3906 5 Diet 2 A,NA,5,120840,0,E Choice NA 4 NA 3906 5 Diet 2 A,120840,EChoice,CV,4,NA,3906,Diet 2,A,diet
645,E Choice NA 4 NA 3908 5 Diet 2 A,E,Choice,E Choice NA 4 NA 3908 5 Diet 2 A,NA,5,22794240,0,E Choice NA 4 NA 3908 5 Diet 2 A,22794240,EChoice,CV,4,NA,3908,Diet 2,A,diet
647,E Choice NA 4 NA 3910 5 Diet 2 L,E,Choice,E Choice NA 4 NA 3910 5 Diet 2 L,NA,5,5088000,0,E Choice NA 4 NA 3910 5 Diet 2 L,5088000,EChoice,CV,4,NA,3910,Diet 2,L,diet
649,E Choice NA 4 NA 3912 5 Diet 2 L,E,Choice,E Choice NA 4 NA 3912 5 Diet 2 L,NA,5,34191360,0,E Choice NA 4 NA 3912 5 Diet 2 L,34191360,EChoice,CV,4,NA,3912,Diet 2,L,diet
651,E Choice NA 4 NA 3914 5 Diet 2 L,E,Choice,E Choice NA 4 NA 3914 5 Diet 2 L,NA,5,53729280,0,E Choice NA 4 NA 3914 5 Diet 2 L,53729280,EChoice,CV,4,NA,3914,Diet 2,L,diet
511,E Control F 4 NA 1950 3 Flies 3 NA,E,Control,E Control F 4 NA 1950 3 Flies 3 NA,F,3,1704480,500,E Control F 4 NA 1950 3 Flies 3 NA,1704980,EControl,G,4,NA,1950,Flies 3,NA,fly
513,E Control F 4 NA 1952 3 Flies 3 NA,E,Control,E Control F 4 NA 1952 3 Flies 3 NA,F,3,1450080,200,E Control F 4 NA 1952 3 Flies 3 NA,1450280,EControl,G,4,NA,1952,Flies 3,NA,fly
515,E Control F 4 NA 1954 3 Flies 3 NA,E,Control,E Control F 4 NA 1954 3 Flies 3 NA,F,3,1348320,1987.5,E Control F 4 NA 1954 3 Flies 3 NA,1350307.5,EControl,G,4,NA,1954,Flies 3,NA,fly
77,E Control F 4 NA 3341 5 Flies 1 NA,E,Control,E Control F 4 NA 3341 5 Flies 1 NA,F,5,101760,50,E Control F 4 NA 3341 5 Flies 1 NA,101810,EControl,CV,4,NA,3341,Flies 1,NA,fly
79,E Control F 4 NA 3343 5 Flies 1 NA,E,Control,E Control F 4 NA 3343 5 Flies 1 NA,F,5,98580,0,E Control F 4 NA 3343 5 Flies 1 NA,98580,EControl,CV,4,NA,3343,Flies 1,NA,fly
81,E Control F 4 NA 3345 5 Flies 1 NA,E,Control,E Control F 4 NA 3345 5 Flies 1 NA,F,5,636000,0,E Control F 4 NA 3345 5 Flies 1 NA,636000,EControl,CV,4,NA,3345,Flies 1,NA,fly
505,E Control M 4 NA 1944 3 Flies 3 NA,E,Control,E Control M 4 NA 1944 3 Flies 3 NA,M,3,814080,675,E Control M 4 NA 1944 3 Flies 3 NA,814755,EControl,G,4,NA,1944,Flies 3,NA,fly
507,E Control M 4 NA 1946 3 Flies 3 NA,E,Control,E Control M 4 NA 1946 3 Flies 3 NA,M,3,1322880,275,E Control M 4 NA 1946 3 Flies 3 NA,1323155,EControl,G,4,NA,1946,Flies 3,NA,fly
509,E Control M 4 NA 1948 3 Flies 3 NA,E,Control,E Control M 4 NA 1948 3 Flies 3 NA,M,3,864960,3577.5,E Control M 4 NA 1948 3 Flies 3 NA,868537.5,EControl,G,4,NA,1948,Flies 3,NA,fly
75,E Control M 4 NA 3339 5 Flies 1 NA,E,Control,E Control M 4 NA 3339 5 Flies 1 NA,M,5,12720,0,E Control M 4 NA 3339 5 Flies 1 NA,12720,EControl,CV,4,NA,3339,Flies 1,NA,fly
681,E Control NA 4 NA 2109 3 Diet 3 NA,E,Control,E Control NA 4 NA 2109 3 Diet 3 NA,NA,3,8954880,0,E Control NA 4 NA 2109 3 Diet 3 NA,8954880,EControl,G,4,NA,2109,Diet 3,NA,diet
685,E Control NA 4 NA 2112 3 Diet 3 NA,E,Control,E Control NA 4 NA 2112 3 Diet 3 NA,NA,3,43960320,0,E Control NA 4 NA 2112 3 Diet 3 NA,43960320,EControl,G,4,NA,2112,Diet 3,NA,diet
687,E Control NA 4 NA 2114 3 Diet 3 NA,E,Control,E Control NA 4 NA 2114 3 Diet 3 NA,NA,3,84664320,0,E Control NA 4 NA 2114 3 Diet 3 NA,84664320,EControl,G,4,NA,2114,Diet 3,NA,diet
689,E Control NA 4 NA 2116 3 Diet 3 NA,E,Control,E Control NA 4 NA 2116 3 Diet 3 NA,NA,3,60241920,0,E Control NA 4 NA 2116 3 Diet 3 NA,60241920,EControl,G,4,NA,2116,Diet 3,NA,diet
691,E Control NA 4 NA 2118 3 Diet 3 NA,E,Control,E Control NA 4 NA 2118 3 Diet 3 NA,NA,3,52101120,22260,E Control NA 4 NA 2118 3 Diet 3 NA,52123380,EControl,G,4,NA,2118,Diet 3,NA,diet
269,E Control NA 4 NA 3533 5 Diet 1 NA,E,Control,E Control NA 4 NA 3533 5 Diet 1 NA,NA,5,2849280,9540,E Control NA 4 NA 3533 5 Diet 1 NA,2858820,EControl,CV,4,NA,3533,Diet 1,NA,diet
271,E Control NA 4 NA 3535 5 Diet 1 NA,E,Control,E Control NA 4 NA 3535 5 Diet 1 NA,NA,5,4273920,12720,E Control NA 4 NA 3535 5 Diet 1 NA,4286640,EControl,CV,4,NA,3535,Diet 1,NA,diet
273,E Control NA 4 NA 3537 5 Diet 1 NA,E,Control,E Control NA 4 NA 3537 5 Diet 1 NA,NA,5,24422400,0,E Control NA 4 NA 3537 5 Diet 1 NA,24422400,EControl,CV,4,NA,3537,Diet 1,NA,diet
275,E Control NA 4 NA 3539 5 Diet 1 NA,E,Control,E Control NA 4 NA 3539 5 Diet 1 NA,NA,5,1017600,0,E Control NA 4 NA 3539 5 Diet 1 NA,1017600,EControl,CV,4,NA,3539,Diet 1,NA,diet
279,E Control NA 4 NA 3542 5 Diet 1 NA,E,Control,E Control NA 4 NA 3542 5 Diet 1 NA,NA,5,2849280,0,E Control NA 4 NA 3542 5 Diet 1 NA,2849280,EControl,CV,4,NA,3542,Diet 1,NA,diet
35,H Choice F 4 NA 1575 3 Flies 1 NA,H,Choice,H Choice F 4 NA 1575 3 Flies 1 NA,F,3,712320,550,H Choice F 4 NA 1575 3 Flies 1 NA,712870,HChoice,AAB,4,NA,1575,Flies 1,NA,fly
37,H Choice F 4 NA 1577 3 Flies 1 NA,H,Choice,H Choice F 4 NA 1577 3 Flies 1 NA,F,3,457920,0,H Choice F 4 NA 1577 3 Flies 1 NA,457920,HChoice,AAB,4,NA,1577,Flies 1,NA,fly
39,H Choice F 4 NA 1579 3 Flies 1 NA,H,Choice,H Choice F 4 NA 1579 3 Flies 1 NA,F,3,381600,0,H Choice F 4 NA 1579 3 Flies 1 NA,381600,HChoice,AAB,4,NA,1579,Flies 1,NA,fly
71,H Choice F 4 NA 1611 3 Flies 1 NA,H,Choice,H Choice F 4 NA 1611 3 Flies 1 NA,F,3,381600,175,H Choice F 4 NA 1611 3 Flies 1 NA,381775,HChoice,AAB,4,NA,1611,Flies 1,NA,fly
423,H Choice F 4 NA 1862 3 Flies 2 NA,H,Choice,H Choice F 4 NA 1862 3 Flies 2 NA,F,3,14310,400,H Choice F 4 NA 1862 3 Flies 2 NA,14710,HChoice,X,4,NA,1862,Flies 2,NA,fly
541,H Choice F 4 NA 1977 3 Flies 3 NA,H,Choice,H Choice F 4 NA 1977 3 Flies 3 NA,F,3,814080,69960,H Choice F 4 NA 1977 3 Flies 3 NA,884040,HChoice,X,4,NA,1977,Flies 3,NA,fly
543,H Choice F 4 NA 1979 3 Flies 3 NA,H,Choice,H Choice F 4 NA 1979 3 Flies 3 NA,F,3,814080,7155,H Choice F 4 NA 1979 3 Flies 3 NA,821235,HChoice,X,4,NA,1979,Flies 3,NA,fly
571,H Choice F 4 NA 2005 3 Flies 3 NA,H,Choice,H Choice F 4 NA 2005 3 Flies 3 NA,F,3,534240,1987.5,H Choice F 4 NA 2005 3 Flies 3 NA,536227.5,HChoice,G,4,NA,2005,Flies 3,NA,fly
575,H Choice F 4 NA 2008 3 Flies 3 NA,H,Choice,H Choice F 4 NA 2008 3 Flies 3 NA,F,3,483360,1590,H Choice F 4 NA 2008 3 Flies 3 NA,484950,HChoice,G,4,NA,2008,Flies 3,NA,fly
635,H Choice F 4 NA 2066 3 Flies 3 NA,H,Choice,H Choice F 4 NA 2066 3 Flies 3 NA,F,3,1399200,10732.5,H Choice F 4 NA 2066 3 Flies 3 NA,1409932.5,HChoice,LAB,4,NA,2066,Flies 3,NA,fly
637,H Choice F 4 NA 2068 3 Flies 3 NA,H,Choice,H Choice F 4 NA 2068 3 Flies 3 NA,F,3,814080,3180,H Choice F 4 NA 2068 3 Flies 3 NA,817260,HChoice,LAB,4,NA,2068,Flies 3,NA,fly
135,H Choice F 4 NA 3399 5 Flies 1 NA,H,Choice,H Choice F 4 NA 3399 5 Flies 1 NA,F,5,559680,25,H Choice F 4 NA 3399 5 Flies 1 NA,559705,HChoice,CV,4,NA,3399,Flies 1,NA,fly
31,H Choice M 4 NA 1571 3 Flies 1 NA,H,Choice,H Choice M 4 NA 1571 3 Flies 1 NA,M,3,19080,2782.5,H Choice M 4 NA 1571 3 Flies 1 NA,21862.5,HChoice,AAB,4,NA,1571,Flies 1,NA,fly
33,H Choice M 4 NA 1573 3 Flies 1 NA,H,Choice,H Choice M 4 NA 1573 3 Flies 1 NA,M,3,814080,200,H Choice M 4 NA 1573 3 Flies 1 NA,814280,HChoice,AAB,4,NA,1573,Flies 1,NA,fly
69,H Choice M 4 NA 1609 3 Flies 1 NA,H,Choice,H Choice M 4 NA 1609 3 Flies 1 NA,M,3,407040,100,H Choice M 4 NA 1609 3 Flies 1 NA,407140,HChoice,AAB,4,NA,1609,Flies 1,NA,fly
537,H Choice M 4 NA 1973 3 Flies 3 NA,H,Choice,H Choice M 4 NA 1973 3 Flies 3 NA,M,3,73140,275,H Choice M 4 NA 1973 3 Flies 3 NA,73415,HChoice,X,4,NA,1973,Flies 3,NA,fly
539,H Choice M 4 NA 1975 3 Flies 3 NA,H,Choice,H Choice M 4 NA 1975 3 Flies 3 NA,M,3,76320,225,H Choice M 4 NA 1975 3 Flies 3 NA,76545,HChoice,X,4,NA,1975,Flies 3,NA,fly
567,H Choice M 4 NA 2002 3 Flies 3 NA,H,Choice,H Choice M 4 NA 2002 3 Flies 3 NA,M,3,66780,7155,H Choice M 4 NA 2002 3 Flies 3 NA,73935,HChoice,G,4,NA,2002,Flies 3,NA,fly
629,H Choice M 4 NA 2060 3 Flies 3 NA,H,Choice,H Choice M 4 NA 2060 3 Flies 3 NA,M,3,737760,5167.5,H Choice M 4 NA 2060 3 Flies 3 NA,742927.5,HChoice,LAB,4,NA,2060,Flies 3,NA,fly
631,H Choice M 4 NA 2062 3 Flies 3 NA,H,Choice,H Choice M 4 NA 2062 3 Flies 3 NA,M,3,381600,5962.5,H Choice M 4 NA 2062 3 Flies 3 NA,387562.5,HChoice,LAB,4,NA,2062,Flies 3,NA,fly
633,H Choice M 4 NA 2064 3 Flies 3 NA,H,Choice,H Choice M 4 NA 2064 3 Flies 3 NA,M,3,381600,1590,H Choice M 4 NA 2064 3 Flies 3 NA,383190,HChoice,LAB,4,NA,2064,Flies 3,NA,fly
133,H Choice M 4 NA 3397 5 Flies 1 NA,H,Choice,H Choice M 4 NA 3397 5 Flies 1 NA,M,5,254400,5565,H Choice M 4 NA 3397 5 Flies 1 NA,259965,HChoice,CV,4,NA,3397,Flies 1,NA,fly
425,H Choice NA 4 NA 1864 3 Diet 2 A,H,Choice,H Choice NA 4 NA 1864 3 Diet 2 A,NA,3,4477440,0,H Choice NA 4 NA 1864 3 Diet 2 A,4477440,HChoice,X,4,NA,1864,Diet 2,A,diet
427,H Choice NA 4 NA 1866 3 Diet 2 A,H,Choice,H Choice NA 4 NA 1866 3 Diet 2 A,NA,3,8751360,0,H Choice NA 4 NA 1866 3 Diet 2 A,8751360,HChoice,X,4,NA,1866,Diet 2,A,diet
429,H Choice NA 4 NA 1868 3 Diet 2 L,H,Choice,H Choice NA 4 NA 1868 3 Diet 2 L,NA,3,7530240,0,H Choice NA 4 NA 1868 3 Diet 2 L,7530240,HChoice,X,4,NA,1868,Diet 2,L,diet
431,H Choice NA 4 NA 1870 3 Diet 2 L,H,Choice,H Choice NA 4 NA 1870 3 Diet 2 L,NA,3,8954880,0,H Choice NA 4 NA 1870 3 Diet 2 L,8954880,HChoice,X,4,NA,1870,Diet 2,L,diet
717,H Choice NA 4 NA 2141 3 Diet 3 A,H,Choice,H Choice NA 4 NA 2141 3 Diet 3 A,NA,3,29306880,0,H Choice NA 4 NA 2141 3 Diet 3 A,29306880,HChoice,X,4,NA,2141,Diet 3,A,diet
721,H Choice NA 4 NA 2144 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2144 3 Diet 3 L,NA,3,52101120,47700,H Choice NA 4 NA 2144 3 Diet 3 L,52148820,HChoice,X,4,NA,2144,Diet 3,L,diet
723,H Choice NA 4 NA 2146 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2146 3 Diet 3 L,NA,3,61870080,25440,H Choice NA 4 NA 2146 3 Diet 3 L,61895520,HChoice,X,4,NA,2146,Diet 3,L,diet
749,H Choice NA 4 NA 2172 3 Diet 3 A,H,Choice,H Choice NA 4 NA 2172 3 Diet 3 A,NA,3,55357440,0,H Choice NA 4 NA 2172 3 Diet 3 A,55357440,HChoice,G,4,NA,2172,Diet 3,A,diet
751,H Choice NA 4 NA 2174 3 Diet 3 A,H,Choice,H Choice NA 4 NA 2174 3 Diet 3 A,NA,3,8140800,0,H Choice NA 4 NA 2174 3 Diet 3 A,8140800,HChoice,G,4,NA,2174,Diet 3,A,diet
753,H Choice NA 4 NA 2176 3 Diet 3 A,H,Choice,H Choice NA 4 NA 2176 3 Diet 3 A,NA,3,9768960,0,H Choice NA 4 NA 2176 3 Diet 3 A,9768960,HChoice,G,4,NA,2176,Diet 3,A,diet
755,H Choice NA 4 NA 2178 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2178 3 Diet 3 L,NA,3,35819520,100,H Choice NA 4 NA 2178 3 Diet 3 L,35819620,HChoice,G,4,NA,2178,Diet 3,L,diet
757,H Choice NA 4 NA 2180 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2180 3 Diet 3 L,NA,3,8140800,75,H Choice NA 4 NA 2180 3 Diet 3 L,8140875,HChoice,G,4,NA,2180,Diet 3,L,diet
759,H Choice NA 4 NA 2182 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2182 3 Diet 3 L,NA,3,39075840,6360,H Choice NA 4 NA 2182 3 Diet 3 L,39082200,HChoice,G,4,NA,2182,Diet 3,L,diet
819,H Choice NA 4 NA 2237 3 Diet 3 A,H,Choice,H Choice NA 4 NA 2237 3 Diet 3 A,NA,3,70010880,0,H Choice NA 4 NA 2237 3 Diet 3 A,70010880,HChoice,LAB,4,NA,2237,Diet 3,A,diet
825,H Choice NA 4 NA 2240 3 Diet 3 L,H,Choice,H Choice NA 4 NA 2240 3 Diet 3 L,NA,3,11397120,75,H Choice NA 4 NA 2240 3 Diet 3 L,11397195,HChoice,LAB,4,NA,2240,Diet 3,L,diet
341,H Choice NA 4 NA 3604 5 Diet 1 A,H,Choice,H Choice NA 4 NA 3604 5 Diet 1 A,NA,5,3052800,0,H Choice NA 4 NA 3604 5 Diet 1 A,3052800,HChoice,CV,4,NA,3604,Diet 1,A,diet
343,H Choice NA 4 NA 3606 5 Diet 1 L,H,Choice,H Choice NA 4 NA 3606 5 Diet 1 L,NA,5,814080,0,H Choice NA 4 NA 3606 5 Diet 1 L,814080,HChoice,CV,4,NA,3606,Diet 1,L,diet
63,H Control F 4 NA 1603 3 Flies 1 NA,H,Control,H Control F 4 NA 1603 3 Flies 1 NA,F,3,9142.5,800,H Control F 4 NA 1603 3 Flies 1 NA,9942.5,HControl,AAB,4,NA,1603,Flies 1,NA,fly
65,H Control F 4 NA 1605 3 Flies 1 NA,H,Control,H Control F 4 NA 1605 3 Flies 1 NA,F,3,508800,0,H Control F 4 NA 1605 3 Flies 1 NA,508800,HControl,AAB,4,NA,1605,Flies 1,NA,fly
67,H Control F 4 NA 1607 3 Flies 1 NA,H,Control,H Control F 4 NA 1607 3 Flies 1 NA,F,3,31800,25,H Control F 4 NA 1607 3 Flies 1 NA,31825,HControl,AAB,4,NA,1607,Flies 1,NA,fly
79,H Control F 4 2 1619 3 Flies 1 NA,H,Control,H Control F 4 2 1619 3 Flies 1 NA,F,3,25440,150,H Control F 4 2 1619 3 Flies 1 NA,25590,HControl,AAB,4,2,1619,Flies 1,NA,fly
81,H Control F 4 2 1621 3 Flies 1 NA,H,Control,H Control F 4 2 1621 3 Flies 1 NA,F,3,101760,550,H Control F 4 2 1621 3 Flies 1 NA,102310,HControl,AAB,4,2,1621,Flies 1,NA,fly
169,H Control F 4 NA 1707 3 Flies 1 NA,H,Control,H Control F 4 NA 1707 3 Flies 1 NA,F,3,814080,200,H Control F 4 NA 1707 3 Flies 1 NA,814280,HControl,X,4,NA,1707,Flies 1,NA,fly
171,H Control F 4 NA 1709 3 Flies 1 NA,H,Control,H Control F 4 NA 1709 3 Flies 1 NA,F,3,1170240,50,H Control F 4 NA 1709 3 Flies 1 NA,1170290,HControl,X,4,NA,1709,Flies 1,NA,fly
397,H Control F 4 NA 1836 3 Flies 2 NA,H,Control,H Control F 4 NA 1836 3 Flies 2 NA,F,3,295740,25,H Control F 4 NA 1836 3 Flies 2 NA,295765,HControl,G,4,NA,1836,Flies 2,NA,fly
399,H Control F 4 NA 1838 3 Flies 2 NA,H,Control,H Control F 4 NA 1838 3 Flies 2 NA,F,3,381600,350,H Control F 4 NA 1838 3 Flies 2 NA,381950,HControl,G,4,NA,1838,Flies 2,NA,fly
601,H Control F 4 NA 2034 3 Flies 3 NA,H,Control,H Control F 4 NA 2034 3 Flies 3 NA,F,3,130380,150,H Control F 4 NA 2034 3 Flies 3 NA,130530,HControl,LAB,4,NA,2034,Flies 3,NA,fly
611,H Control F 4 2 2043 3 Flies 3 NA,H,Control,H Control F 4 2 2043 3 Flies 3 NA,F,3,788640,425,H Control F 4 2 2043 3 Flies 3 NA,789065,HControl,LAB,4,2,2043,Flies 3,NA,fly
441,H Control F 4 NA 3704 5 Flies 2 NA,H,Control,H Control F 4 NA 3704 5 Flies 2 NA,F,5,788640,0,H Control F 4 NA 3704 5 Flies 2 NA,788640,HControl,CV,4,NA,3704,Flies 2,NA,fly
443,H Control F 4 NA 3706 5 Flies 2 NA,H,Control,H Control F 4 NA 3706 5 Flies 2 NA,F,5,1526400,0,H Control F 4 NA 3706 5 Flies 2 NA,1526400,HControl,CV,4,NA,3706,Flies 2,NA,fly
59,H Control M 4 NA 1599 3 Flies 1 NA,H,Control,H Control M 4 NA 1599 3 Flies 1 NA,M,3,8745,150,H Control M 4 NA 1599 3 Flies 1 NA,8895,HControl,AAB,4,NA,1599,Flies 1,NA,fly
61,H Control M 4 NA 1601 3 Flies 1 NA,H,Control,H Control M 4 NA 1601 3 Flies 1 NA,M,3,22260,250,H Control M 4 NA 1601 3 Flies 1 NA,22510,HControl,AAB,4,NA,1601,Flies 1,NA,fly
73,H Control M 4 2 1613 3 Flies 1 NA,H,Control,H Control M 4 2 1613 3 Flies 1 NA,M,3,3180,325,H Control M 4 2 1613 3 Flies 1 NA,3505,HControl,AAB,4,2,1613,Flies 1,NA,fly
75,H Control M 4 2 1615 3 Flies 1 NA,H,Control,H Control M 4 2 1615 3 Flies 1 NA,M,3,47700,300,H Control M 4 2 1615 3 Flies 1 NA,48000,HControl,AAB,4,2,1615,Flies 1,NA,fly
77,H Control M 4 2 1617 3 Flies 1 NA,H,Control,H Control M 4 2 1617 3 Flies 1 NA,M,3,60420,375,H Control M 4 2 1617 3 Flies 1 NA,60795,HControl,AAB,4,2,1617,Flies 1,NA,fly
165,H Control M 4 NA 1703 3 Flies 1 NA,H,Control,H Control M 4 NA 1703 3 Flies 1 NA,M,3,8745,0,H Control M 4 NA 1703 3 Flies 1 NA,8745,HControl,X,4,NA,1703,Flies 1,NA,fly
167,H Control M 4 NA 1705 3 Flies 1 NA,H,Control,H Control M 4 NA 1705 3 Flies 1 NA,M,3,7155,175,H Control M 4 NA 1705 3 Flies 1 NA,7330,HControl,X,4,NA,1705,Flies 1,NA,fly
